,Time,Volume,Open,Close,High,Low
275,2022-12-31 04:00:00,63,129.4,130.08,130.46,129.0
276,2023-01-01 04:00:00,40,129.04,129.25,130.25,129.03
277,2023-01-02 04:00:00,47,130.31,130.65,130.65,129.55
278,2023-01-03 04:00:00,27888504,130.81,124.91,132.0,124.18
279,2023-01-04 04:00:00,20727379,125.42,127.5,128.65,125.07
280,2023-01-05 04:00:00,18567606,126.38,125.09,127.85,124.76
281,2023-01-06 04:00:00,22603151,124.5,129.33,130.29,124.02
282,2023-01-07 04:00:00,54,129.09,128.9,130.15,128.85
283,2023-01-08 04:00:00,53,128.88,128.45,129.64,128.45
284,2023-01-09 04:00:00,16932813,129.99,130.05,133.41,128.6
285,2023-01-10 04:00:00,14202320,129.91,130.76,131.26,128.13
286,2023-01-11 04:00:00,18528027,131.49,133.43,133.5,130.24
287,2023-01-12 04:00:00,17873778,133.48,133.24,134.66,131.45
288,2023-01-13 04:00:00,14293413,132.13,134.55,134.92,131.65
289,2023-01-14 04:00:00,140,134.0,134.16,135.35,133.85
290,2023-01-15 04:00:00,28,134.13,133.95,135.23,133.93
291,2023-01-17 04:00:00,16015093,134.34,135.91,137.29,134.13
292,2023-01-18 04:00:00,17924213,136.09,134.83,138.61,134.83
293,2023-01-19 04:00:00,15307235,134.91,135.66,136.24,133.22
294,2023-01-20 04:00:00,27550451,135.71,137.86,137.99,134.23
295,2023-01-21 04:00:00,129,137.28,137.12,138.57,137.12
296,2023-01-22 04:00:00,26,137.09,138.01,138.01,136.88
297,2023-01-23 04:00:00,19104789,136.61,141.11,143.31,136.2
298,2023-01-24 04:00:00,12734712,140.2,142.94,143.36,139.59
299,2023-01-25 04:00:00,14638157,142.0,141.46,142.43,138.82
300,2023-01-26 04:00:00,13925997,142.22,143.52,144.25,141.9
301,2023-01-27 04:00:00,16850736,143.33,145.93,147.23,142.86
302,2023-01-28 04:00:00,66,146.68,146.6,146.72,145.42
303,2023-01-29 04:00:00,57,145.43,145.26,146.55,145.22
304,2023-01-30 04:00:00,16087589,145.26,143.03,145.66,142.86
305,2023-01-31 04:00:00,24187737,141.53,144.0,144.43,141.5
306,2023-02-01 04:00:00,19873142,143.61,146.08,146.61,141.33
307,2023-02-02 04:00:00,25024659,147.5,150.11,152.07,142.32
308,2023-02-03 04:00:00,33119922,148.26,154.03,157.38,144.52
309,2023-02-04 04:00:00,160,153.4,152.68,154.64,152.56
310,2023-02-05 04:00:00,49,152.64,152.34,153.88,152.34
311,2023-02-06 04:00:00,16417387,152.56,151.72,153.57,150.78
312,2023-02-07 04:00:00,24138184,150.86,154.09,155.23,150.37
313,2023-02-08 04:00:00,20522022,154.35,152.16,154.91,151.17
314,2023-02-09 04:00:00,15295141,151.59,151.03,154.32,150.42
315,2023-02-10 04:00:00,13841592,151.35,150.99,151.36,148.7
316,2023-02-11 04:00:00,74,150.38,149.83,151.48,149.83
317,2023-02-12 04:00:00,52,149.82,150.45,150.45,149.27
318,2023-02-13 04:00:00,17289435,150.11,153.78,154.26,150.11
319,2023-02-14 04:00:00,17517703,153.48,153.13,155.12,150.87
320,2023-02-15 04:00:00,14408391,152.37,155.27,155.5,152.0
321,2023-02-16 04:00:00,17093075,155.45,153.26,156.32,153.02
322,2023-02-17 04:00:00,16584278,153.32,152.49,155.9,150.85
323,2023-02-18 04:00:00,109,151.87,150.62,152.66,150.62
324,2023-02-19 04:00:00,209,150.6,150.34,151.84,150.1
325,2023-02-21 04:00:00,17878964,151.83,148.54,151.92,148.41
326,2023-02-22 04:00:00,14975696,148.69,149.31,149.95,147.16
327,2023-02-23 04:00:00,14046874,149.62,149.16,150.35,147.24
328,2023-02-24 04:00:00,15837394,148.87,146.64,149.08,145.73
