Time,Time,Volume,Open,Close,High,Low
2022-05-18 22:00:00,2022-05-18 22:00:00,8482,233.56,233.38,234.1,233.38
2022-05-19 11:00:00,2022-05-19 11:00:00,7852,230.07,230.83,230.97,229.66
2022-05-19 12:00:00,2022-05-19 12:00:00,156036,230.84,230.78,231.0,229.13
2022-05-19 13:00:00,2022-05-19 13:00:00,4396448,230.79,231.99,236.28,229.06
2022-05-19 14:00:00,2022-05-19 14:00:00,3208818,231.9,236.47,237.19,231.17
2022-05-19 15:00:00,2022-05-19 15:00:00,2719679,236.38,240.24,242.23,234.65
2022-05-19 16:00:00,2022-05-19 16:00:00,1631148,240.36,235.87,241.16,234.33
2022-05-19 17:00:00,2022-05-19 17:00:00,1597764,235.88,236.61,237.6,232.42
2022-05-19 18:00:00,2022-05-19 18:00:00,1427367,236.61,236.78,237.85,234.76
2022-05-19 19:00:00,2022-05-19 19:00:00,2266564,236.87,234.11,238.18,233.74
2022-05-19 20:00:00,2022-05-19 20:00:00,1201097,234.11,235.01,235.12,233.91
2022-05-19 21:00:00,2022-05-19 21:00:00,11745,234.93,234.53,234.93,234.35
2022-05-19 22:00:00,2022-05-19 22:00:00,14661,234.53,235.29,235.79,234.52
2022-05-20 11:00:00,2022-05-20 11:00:00,8430,238.71,238.59,239.18,237.6
2022-05-20 12:00:00,2022-05-20 12:00:00,104336,238.47,237.27,238.92,236.02
2022-05-20 13:00:00,2022-05-20 13:00:00,3482897,237.27,230.54,238.26,230.02
2022-05-20 14:00:00,2022-05-20 14:00:00,6059785,230.58,220.0,230.98,219.67
2022-05-20 15:00:00,2022-05-20 15:00:00,3858736,220.0,219.21,221.59,217.24
2022-05-20 16:00:00,2022-05-20 16:00:00,5247527,219.21,212.37,219.75,209.0
2022-05-20 17:00:00,2022-05-20 17:00:00,3777921,212.4,214.77,215.74,208.89
2022-05-20 18:00:00,2022-05-20 18:00:00,2347864,214.76,213.04,215.09,210.46
2022-05-20 19:00:00,2022-05-20 19:00:00,5470561,213.07,219.08,219.35,210.21
2022-05-20 20:00:00,2022-05-20 20:00:00,2298436,219.09,217.92,219.29,214.17
2022-05-20 21:00:00,2022-05-20 21:00:00,66045,217.87,220.24,220.31,217.64
2022-05-20 22:00:00,2022-05-20 22:00:00,25397,220.19,219.52,220.19,219.12
2022-05-23 11:00:00,2022-05-23 11:00:00,5764,220.34,215.93,220.34,215.0
2022-05-23 12:00:00,2022-05-23 12:00:00,267488,216.13,217.11,218.2,215.95
2022-05-23 13:00:00,2022-05-23 13:00:00,4676591,217.11,214.13,219.95,210.55
2022-05-23 14:00:00,2022-05-23 14:00:00,3673030,214.16,218.04,222.38,211.2
2022-05-23 15:00:00,2022-05-23 15:00:00,1958873,218.04,220.32,221.14,217.43
2022-05-23 16:00:00,2022-05-23 16:00:00,1828197,220.3,220.88,224.38,220.11
2022-05-23 17:00:00,2022-05-23 17:00:00,1124997,220.86,221.44,221.91,218.17
2022-05-23 18:00:00,2022-05-23 18:00:00,1174697,221.48,220.76,223.0,220.11
2022-05-23 19:00:00,2022-05-23 19:00:00,2582791,220.77,222.67,223.18,220.11
2022-05-23 20:00:00,2022-05-23 20:00:00,1327248,222.71,222.63,223.24,222.42
2022-05-23 21:00:00,2022-05-23 21:00:00,120794,222.57,218.32,222.73,217.64
2022-05-23 22:00:00,2022-05-23 22:00:00,50615,218.32,217.64,219.11,217.13
2022-05-24 11:00:00,2022-05-24 11:00:00,5494,217.14,215.82,217.31,215.82
2022-05-24 12:00:00,2022-05-24 12:00:00,121867,215.83,215.83,216.78,214.96
2022-05-24 13:00:00,2022-05-24 13:00:00,3063703,215.88,209.08,216.18,208.92
2022-05-24 14:00:00,2022-05-24 14:00:00,3246782,209.01,210.21,212.06,207.12
2022-05-24 15:00:00,2022-05-24 15:00:00,1920733,210.3,212.1,213.59,209.46
2022-05-24 16:00:00,2022-05-24 16:00:00,1752267,212.1,210.77,215.73,209.9
2022-05-24 17:00:00,2022-05-24 17:00:00,1521494,210.75,209.66,210.77,207.3
2022-05-24 18:00:00,2022-05-24 18:00:00,1740927,209.77,206.02,210.79,205.16
2022-05-24 19:00:00,2022-05-24 19:00:00,2982573,205.97,207.28,209.46,204.8
2022-05-24 20:00:00,2022-05-24 20:00:00,1578839,207.39,207.56,208.07,206.59
2022-05-24 21:00:00,2022-05-24 21:00:00,27239,207.66,208.53,208.56,207.6
2022-05-24 22:00:00,2022-05-24 22:00:00,25961,208.51,209.25,211.53,208.43
2022-05-25 11:00:00,2022-05-25 11:00:00,4294,204.82,204.54,205.14,203.78
2022-05-25 12:00:00,2022-05-25 12:00:00,131803,204.51,205.19,207.9,203.94
2022-05-25 13:00:00,2022-05-25 13:00:00,3144897,204.93,210.09,211.7,204.59
2022-05-25 14:00:00,2022-05-25 14:00:00,3357776,209.97,215.43,215.78,209.14
2022-05-25 15:00:00,2022-05-25 15:00:00,2844845,215.42,216.84,219.99,214.97
2022-05-25 16:00:00,2022-05-25 16:00:00,1324130,216.94,217.86,218.27,214.57
2022-05-25 17:00:00,2022-05-25 17:00:00,1209358,217.82,218.2,219.95,216.88
2022-05-25 18:00:00,2022-05-25 18:00:00,2186876,218.08,218.9,220.51,215.16
2022-05-25 19:00:00,2022-05-25 19:00:00,2448167,218.96,217.35,220.85,216.81
2022-05-25 20:00:00,2022-05-25 20:00:00,2231806,217.36,214.0,217.8,211.2
2022-05-25 21:00:00,2022-05-25 21:00:00,50624,214.25,215.66,215.82,214.01
2022-05-25 22:00:00,2022-05-25 22:00:00,12342,215.57,216.63,216.96,215.57
2022-05-26 11:00:00,2022-05-26 11:00:00,6797,221.96,221.15,222.26,220.48
2022-05-26 12:00:00,2022-05-26 12:00:00,242567,221.25,221.84,222.39,219.9
2022-05-26 13:00:00,2022-05-26 13:00:00,3219124,221.84,222.03,222.72,215.67
2022-05-26 14:00:00,2022-05-26 14:00:00,3667485,222.08,229.89,230.0,220.77
2022-05-26 15:00:00,2022-05-26 15:00:00,2759964,229.88,232.82,233.27,228.72
2022-05-26 16:00:00,2022-05-26 16:00:00,2200764,232.82,236.37,237.16,232.23
2022-05-26 17:00:00,2022-05-26 17:00:00,1750221,236.37,234.14,236.41,232.83
2022-05-26 18:00:00,2022-05-26 18:00:00,1195139,234.14,234.92,235.48,233.11
2022-05-26 19:00:00,2022-05-26 19:00:00,3084506,234.9,233.48,234.99,231.13
2022-05-26 20:00:00,2022-05-26 20:00:00,2007912,233.48,233.73,234.47,232.73
2022-05-26 21:00:00,2022-05-26 21:00:00,15482,233.7,234.23,234.29,232.73
2022-05-26 22:00:00,2022-05-26 22:00:00,19424,234.2,234.43,235.12,234.0
2022-05-27 11:00:00,2022-05-27 11:00:00,9145,236.66,235.39,237.0,235.39
2022-05-27 12:00:00,2022-05-27 12:00:00,263352,235.34,239.48,239.83,235.09
2022-05-27 13:00:00,2022-05-27 13:00:00,4371770,239.43,244.87,245.38,237.77
2022-05-27 14:00:00,2022-05-27 14:00:00,3877321,244.9,246.57,249.24,243.69
2022-05-27 15:00:00,2022-05-27 15:00:00,1978279,246.58,248.56,249.04,245.36
2022-05-27 16:00:00,2022-05-27 16:00:00,1363597,248.56,247.73,249.11,246.52
2022-05-27 17:00:00,2022-05-27 17:00:00,1102706,247.73,248.03,248.71,247.39
2022-05-27 18:00:00,2022-05-27 18:00:00,1111124,248.03,249.27,249.81,247.43
2022-05-27 19:00:00,2022-05-27 19:00:00,2877030,249.27,250.69,250.73,248.99
2022-05-27 20:00:00,2022-05-27 20:00:00,2337121,250.47,250.74,250.97,250.21
2022-05-27 21:00:00,2022-05-27 21:00:00,54991,250.8,251.49,251.51,250.7
2022-05-27 22:00:00,2022-05-27 22:00:00,28112,251.53,252.32,252.45,251.42
2022-05-31 11:00:00,2022-05-31 11:00:00,10367,254.91,255.55,256.0,254.44
2022-05-31 12:00:00,2022-05-31 12:00:00,216785,255.42,252.95,255.42,252.54
2022-05-31 13:00:00,2022-05-31 13:00:00,4136018,252.96,247.39,257.02,245.94
2022-05-31 14:00:00,2022-05-31 14:00:00,4143330,247.44,252.24,254.64,242.29
2022-05-31 15:00:00,2022-05-31 15:00:00,2110967,252.19,253.42,254.68,248.53
2022-05-31 16:00:00,2022-05-31 16:00:00,1863188,253.44,254.63,256.81,252.19
2022-05-31 17:00:00,2022-05-31 17:00:00,1638191,254.61,253.62,254.98,250.14
2022-05-31 18:00:00,2022-05-31 18:00:00,1449845,253.67,248.64,254.09,246.93
2022-05-31 19:00:00,2022-05-31 19:00:00,3014570,248.56,250.14,251.71,247.9
2022-05-31 20:00:00,2022-05-31 20:00:00,4117991,250.17,249.56,250.52,249.15
2022-05-31 21:00:00,2022-05-31 21:00:00,17100,249.55,249.64,249.71,248.9
2022-05-31 22:00:00,2022-05-31 22:00:00,6906,249.73,249.93,250.11,249.62
2022-06-01 11:00:00,2022-06-01 11:00:00,6000,248.6,250.14,250.14,248.09
2022-06-01 12:00:00,2022-06-01 12:00:00,89152,250.28,249.29,250.44,249.0
2022-06-01 13:00:00,2022-06-01 13:00:00,2466348,249.31,253.65,254.1,248.82
2022-06-01 14:00:00,2022-06-01 14:00:00,3848167,253.67,248.5,254.75,243.78
2022-06-01 15:00:00,2022-06-01 15:00:00,1746752,248.5,242.98,248.62,242.32
2022-06-01 16:00:00,2022-06-01 16:00:00,1361273,242.98,242.74,243.9,241.2
2022-06-01 17:00:00,2022-06-01 17:00:00,1189212,242.7,243.96,244.76,242.01
2022-06-01 18:00:00,2022-06-01 18:00:00,1608858,243.98,245.76,247.34,243.31
2022-06-01 19:00:00,2022-06-01 19:00:00,1796503,245.76,244.31,247.67,244.27
2022-06-01 20:00:00,2022-06-01 20:00:00,924361,244.28,243.47,244.53,243.21
2022-06-01 21:00:00,2022-06-01 21:00:00,15515,243.41,244.18,244.46,243.41
2022-06-01 22:00:00,2022-06-01 22:00:00,3652,244.13,243.74,244.21,243.71
2022-06-02 11:00:00,2022-06-02 11:00:00,3155,245.81,245.78,246.08,244.86
2022-06-02 12:00:00,2022-06-02 12:00:00,92642,245.74,243.88,245.92,243.87
2022-06-02 13:00:00,2022-06-02 13:00:00,2988506,243.94,248.91,249.48,239.58
2022-06-02 14:00:00,2022-06-02 14:00:00,3502700,248.88,253.41,253.69,248.16
2022-06-02 15:00:00,2022-06-02 15:00:00,3310548,253.43,259.12,261.35,253.18
2022-06-02 16:00:00,2022-06-02 16:00:00,1893952,259.11,258.43,261.57,257.58
2022-06-02 17:00:00,2022-06-02 17:00:00,1378818,258.5,258.35,259.06,256.41
2022-06-02 18:00:00,2022-06-02 18:00:00,1342718,258.33,256.36,260.13,255.92
2022-06-02 19:00:00,2022-06-02 19:00:00,2650203,256.31,255.75,257.48,254.51
2022-06-02 20:00:00,2022-06-02 20:00:00,1340321,255.82,256.57,256.79,255.42
2022-06-02 21:00:00,2022-06-02 21:00:00,60097,256.71,258.07,258.72,256.58
2022-06-02 22:00:00,2022-06-02 22:00:00,11573,258.31,258.54,258.6,257.76
2022-06-03 11:00:00,2022-06-03 11:00:00,37485,243.79,243.05,243.98,242.3
2022-06-03 12:00:00,2022-06-03 12:00:00,529848,243.08,244.03,246.14,242.3
2022-06-03 13:00:00,2022-06-03 13:00:00,5355876,244.04,240.23,245.36,236.05
2022-06-03 14:00:00,2022-06-03 14:00:00,3710855,240.32,235.11,242.35,234.93
2022-06-03 15:00:00,2022-06-03 15:00:00,3305485,235.11,234.83,235.74,231.62
2022-06-03 16:00:00,2022-06-03 16:00:00,1611021,234.88,234.95,235.74,233.43
2022-06-03 17:00:00,2022-06-03 17:00:00,1604118,234.94,232.35,236.61,231.7
2022-06-03 18:00:00,2022-06-03 18:00:00,1108267,232.38,233.22,234.14,232.02
2022-06-03 19:00:00,2022-06-03 19:00:00,3288567,233.24,232.17,233.5,231.08
2022-06-03 20:00:00,2022-06-03 20:00:00,1884891,232.16,231.59,232.25,231.17
2022-06-03 21:00:00,2022-06-03 21:00:00,14639,231.65,231.83,231.83,231.17
2022-06-03 22:00:00,2022-06-03 22:00:00,7612,231.83,231.48,231.87,231.17
2022-06-04 07:00:00,2022-06-04 07:00:00,952,231.68,229.12,231.68,227.91
2022-06-04 08:00:00,2022-06-04 08:00:00,424,228.35,230.02,231.36,228.35
2022-06-04 09:00:00,2022-06-04 09:00:00,248,229.94,230.18,231.12,229.7
2022-06-04 10:00:00,2022-06-04 10:00:00,373,231.12,228.9,231.12,227.87
2022-06-04 11:00:00,2022-06-04 11:00:00,194,228.82,228.98,230.39,228.82
2022-06-04 12:00:00,2022-06-04 12:00:00,342,228.9,230.23,231.44,228.9
2022-06-04 13:00:00,2022-06-04 13:00:00,167,229.14,229.42,230.23,228.78
2022-06-04 14:00:00,2022-06-04 14:00:00,109,229.22,228.74,230.07,228.74
2022-06-04 15:00:00,2022-06-04 15:00:00,91,228.66,230.35,230.35,228.62
2022-06-05 07:00:00,2022-06-05 07:00:00,239,230.55,231.68,232.66,229.54
2022-06-05 08:00:00,2022-06-05 08:00:00,173,231.35,231.72,232.75,230.86
2022-06-05 09:00:00,2022-06-05 09:00:00,385,232.5,234.19,235.14,231.88
2022-06-05 10:00:00,2022-06-05 10:00:00,215,234.11,232.45,234.44,232.45
2022-06-05 11:00:00,2022-06-05 11:00:00,209,232.37,233.73,233.73,232.17
2022-06-05 12:00:00,2022-06-05 12:00:00,124,232.62,233.32,233.4,231.8
2022-06-05 13:00:00,2022-06-05 13:00:00,39,232.49,232.53,233.53,232.37
